"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"Name_Stock_Oxyde";"Name_Stock_Oxyde02"
11;"N";"Nitr骻eno";7;15;2;"No Metal";"Otros no metales";"Gas";"2,3,4,5";4;11;4;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;"N2O5";"脫xido Pern铆trico";"脫xido de Nitr贸geno (V)";"Di";"Penta";"Di脫xido de PentaNitr锟絞eno";"Di贸xido de Pentanitr锟紾eno"
12;"O";"Ox韌eno";8;16;2;"No Metal";"Otros no metales";"Gas";"2";1;12;1;"2";"II";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"脫xido de Ox铆geno (II)";"----";"----";"----";"----"
13;"F";"Fl鷒r";9;17;2;"No Metal";"Hal骻enos";"Gas";"1";1;13;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"F2O1";"脫xido de Fl煤or";"脫xido de Fl煤or (I)";"Di";"Mono";"Di脫xido de MonoFl锟給r";"Di贸xido de Monofl锟絆r"
14;"Ne";"Ne髇";10;18;2;"Gas Noble";"-";"Gas";"0";1;14;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
15;"Na";"Sodio";11;1;3;"Metal";"Alcalino";"S髄ido";"1";1;15;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Na2O1";"脫xido de Sodio";"脫xido de Sodio (I)";"Di";"Mono";"Di脫xido de MonoSodio";"Di贸xido de Monosodio"
16;"Mg";"Magnesio";12;2;3;"Metal";"Tierras alcalinas";"S髄ido";"2";1;16;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mg1O1";"脫xido de Magnesio";"脫xido de Magnesio (II)";"Mono";"Mono";"Mon脫xido de MonoMagnesio";"Mon贸xido de Monomagnesio"
17;"Al";"Aluminio";13;13;3;"Metal";"Metales del Bloque p";"S髄ido";"3";1;17;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Al2O3";"脫xido de Aluminio";"脫xido de Aluminio (III)";"Di";"Tri";"Di脫xido de TriAluminio";"Di贸xido de Trialuminio"
18;"Si";"Silicio";14;14;3;"Metaloide";"-";"S髄ido";"4";1;18;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Si1O2";"脫xido de Silicio";"脫xido de Silicio (IV)";"Mono";"Di";"Mon脫xido de DiSilicio";"Mon贸xido de Disilicio"
19;"P";"F髎foro";15;15;3;"No Metal";"Otros no metales";"S髄ido";"3,4,5";3;19;1;"3";"III";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O3";"脫xido Hipofosforoso";"脫xido de F贸sforo (III)";"Di";"Tri";"Di脫xido de TriF锟絪foro";"Di贸xido de Trif锟絊foro"
20;"P";"F髎foro";15;15;3;"No Metal";"Otros no metales";"S髄ido";"3,4,5";3;20;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P1O2";"脫xido Fosforoso";"脫xido de F贸sforo (IV)";"Mono";"Di";"Mon脫xido de DiF锟絪foro";"Mon贸xido de Dif锟絊foro"
21;"P";"F髎foro";15;15;3;"No Metal";"Otros no metales";"S髄ido";"3,4,5";3;21;3;"5";"V";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O5";"脫xido Fosf贸rico";"脫xido de F贸sforo (V)";"Di";"Penta";"Di脫xido de PentaF锟絪foro";"Di贸xido de Pentaf锟絊foro"
22;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"S髄ido";"2,4,6";3;22;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O1";"脫xido Hiposulfuroso";"脫xido de Azufre (II)";"Mono";"Mono";"Mon脫xido de MonoAzufre";"Mon贸xido de Monoazufre"
23;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"S髄ido";"2,4,6";3;23;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O2";"脫xido Sulfuroso";"脫xido de Azufre (IV)";"Mono";"Di";"Mon脫xido de DiAzufre";"Mon贸xido de Diazufre"
24;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"S髄ido";"2,4,6";3;24;3;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O3";"脫xido Sulf煤rico";"脫xido de Azufre (VI)";"Mono";"Tri";"Mon脫xido de TriAzufre";"Mon贸xido de Triazufre"
25;"Cl";"Cloro";17;17;3;"No Metal";"Hal骻enos";"Gas";"1,3,5,7";4;25;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O1";"脫xido Hipocloroso";"脫xido de Cloro (I)";"Di";"Mono";"Di脫xido de MonoCloro";"Di贸xido de Monocloro"
26;"Cl";"Cloro";17;17;3;"No Metal";"Hal骻enos";"Gas";"1,3,5,7";4;26;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O3";"脫xido Cloroso";"脫xido de Cloro (III)";"Di";"Tri";"Di脫xido de TriCloro";"Di贸xido de Tricloro"
27;"Cl";"Cloro";17;17;3;"No Metal";"Hal骻enos";"Gas";"1,3,5,7";4;27;3;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O5";"脫xido Cl贸rico";"脫xido de Cloro (V)";"Di";"Penta";"Di脫xido de PentaCloro";"Di贸xido de Pentacloro"
28;"Cl";"Cloro";17;17;3;"No Metal";"Hal骻enos";"Gas";"1,3,5,7";4;28;4;"7";"VII";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O7";"脫xido Percl贸rico";"脫xido de Cloro (VII)";"Di";"Hepta";"Di脫xido de HeptaCloro";"Di贸xido de Heptacloro"
29;"Ar";"Arg髇";18;18;3;"Gas Noble";"-";"Gas";"0";1;29;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----";"----"
30;"K";"Potasio";19;1;4;"Metal";"Alcalino";"S髄ido";"1";1;30;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"K2O1";"脫xido de Potasio";"脫xido de Potasio (I)";"Di";"Mono";"Di脫xido de MonoPotasio";"Di贸xido de Monopotasio"
31;"Ca";"Calcio";20;2;4;"Metal";"Tierras alcalinas";"S髄ido";"2";1;31;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ca1O1";"脫xido de Calcio";"脫xido de Calcio (II)";"Mono";"Mono";"Mon脫xido de MonoCalcio";"Mon贸xido de Monocalcio"
32;"Sc";"Escandio";21;3;4;"Metal";"Metales de transici髇";"S髄ido";"3";1;32;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sc2O3";"脫xido de Escandio";"脫xido de Escandio (III)";"Di";"Tri";"Di脫xido de TriEscandio";"Di贸xido de Triescandio"
33;"Ti";"Titanio";22;4;4;"Metal";"Metales de transici髇";"S髄ido";"3,4";2;33;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti2O3";"脫xido Titanoso";"脫xido de Titanio (III)";"Di";"Tri";"Di脫xido de TriTitanio";"Di贸xido de Trititanio"
34;"Ti";"Titanio";22;4;4;"Metal";"Metales de transici髇";"S髄ido";"3,4";2;34;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti1O2";"脫xido Tit谩nico";"脫xido de Titanio (IV)";"Mono";"Di";"Mon脫xido de DiTitanio";"Mon贸xido de Dititanio"
35;"V";"Vanadio";23;5;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5";4;35;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O1";"脫xido Hipovanadoso";"脫xido de Vanadio (II)";"Mono";"Mono";"Mon脫xido de MonoVanadio";"Mon贸xido de Monovanadio"
36;"V";"Vanadio";23;5;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5";4;36;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O3";"脫xido Vanadoso";"脫xido de Vanadio (III)";"Di";"Tri";"Di脫xido de TriVanadio";"Di贸xido de Trivanadio"
37;"V";"Vanadio";23;5;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5";4;37;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O2";"脫xido Van谩dico";"脫xido de Vanadio (IV)";"Mono";"Di";"Mon脫xido de DiVanadio";"Mon贸xido de Divanadio"
38;"V";"Vanadio";23;5;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,4,5";4;38;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O5";"脫xido Pervan谩dico";"脫xido de Vanadio (V)";"Di";"Penta";"Di脫xido de PentaVanadio";"Di贸xido de Pentavanadio"
39;"Cr";"Cromo";24;6;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,6";3;39;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O1";"脫xido Hipocromoso";"脫xido de Cromo (II)";"Mono";"Mono";"Mon脫xido de MonoCromo";"Mon贸xido de Monocromo"
40;"Cr";"Cromo";24;6;4;"Metal";"Metales de transici髇";"S髄ido";"2,3,6";3;40;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr2O3";"脫xido Cromoso";"脫xido de Cromo (III)";"Di";"Tri";"Di脫xido de TriCromo";"Di贸xido de Tricromo"
