"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrderValenceOnElement";"SelectedValence";"RomanValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule_pure";"Name_Classic_Oxyde";"Name_IUPAC_Oxyde";"amount01_oxyde_Stock";"amount02_oxyde_Stock";"OxydeFullName_Stock"
19;"P";"Fósforo";15;15;3;"No Metal";"Otros no metales";"Sólido";"3,4,5";3;19;1;"3";"III";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O3";"Óxido HipoFosforoso";"Óxido de Fósforo (III)";"Di";"Tri";"DiÓxido de TriFósforo"
20;"P";"Fósforo";15;15;3;"No Metal";"Otros no metales";"Sólido";"3,4,5";3;20;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P1O2";"Óxido Fosforoso";"Óxido de Fósforo (IV)";"Mono";"Di";"MonoÓxido de DiFósforo"
21;"P";"Fósforo";15;15;3;"No Metal";"Otros no metales";"Sólido";"3,4,5";3;21;3;"5";"V";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"P2O5";"Óxido Fosfórico";"Óxido de Fósforo (V)";"Di";"Penta";"DiÓxido de PentaFósforo"
22;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"Sólido";"2,4,6";3;22;1;"2";"II";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O1";"Óxido HipoSulfuroso";"Óxido de Azufre (II)";"Mono";"Mono";"MonoÓxido de MonoAzufre"
23;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"Sólido";"2,4,6";3;23;2;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O2";"Óxido Sulfuroso";"Óxido de Azufre (IV)";"Mono";"Di";"MonoÓxido de DiAzufre"
24;"S";"Azufre";16;16;3;"No Metal";"Otros no metales";"Sólido";"2,4,6";3;24;3;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"S1O3";"Óxido Sulfúrico";"Óxido de Azufre (VI)";"Mono";"Tri";"MonoÓxido de TriAzufre"
25;"Cl";"Cloro";17;17;3;"No Metal";"Halógenos";"Gas";"1,3,5,7";4;25;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O1";"Óxido HipoCloroso";"Óxido de Cloro (I)";"Di";"Mono";"DiÓxido de MonoCloro"
26;"Cl";"Cloro";17;17;3;"No Metal";"Halógenos";"Gas";"1,3,5,7";4;26;2;"3";"III";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O3";"Óxido Cloroso";"Óxido de Cloro (III)";"Di";"Tri";"DiÓxido de TriCloro"
27;"Cl";"Cloro";17;17;3;"No Metal";"Halógenos";"Gas";"1,3,5,7";4;27;3;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O5";"Óxido Clórico";"Óxido de Cloro (V)";"Di";"Penta";"DiÓxido de PentaCloro"
28;"Cl";"Cloro";17;17;3;"No Metal";"Halógenos";"Gas";"1,3,5,7";4;28;4;"7";"VII";FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O7";"Óxido PerClórico";"Óxido de Cloro (VII)";"Di";"Hepta";"DiÓxido de HeptaCloro"
29;"Ar";"Argón";18;18;3;"Gas Noble";"-";"Gas";"0";1;29;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----"
30;"K";"Potasio";19;1;4;"Metal";"Alcalino";"Sólido";"1";1;30;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"K2O1";"Óxido de Potasio";"Óxido de Potasio (I)";"Di";"Mono";"DiÓxido de MonoPotasio"
31;"Ca";"Calcio";20;2;4;"Metal";"Tierras alcalinas";"Sólido";"2";1;31;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ca1O1";"Óxido de Calcio";"Óxido de Calcio (II)";"Mono";"Mono";"MonoÓxido de MonoCalcio"
32;"Sc";"Escandio";21;3;4;"Metal";"Metales de transición";"Sólido";"3";1;32;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sc2O3";"Óxido de Escandio";"Óxido de Escandio (III)";"Di";"Tri";"DiÓxido de TriEscandio"
33;"Ti";"Titanio";22;4;4;"Metal";"Metales de transición";"Sólido";"3,4";2;33;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti2O3";"Óxido Titanoso";"Óxido de Titanio (III)";"Di";"Tri";"DiÓxido de TriTitanio"
34;"Ti";"Titanio";22;4;4;"Metal";"Metales de transición";"Sólido";"3,4";2;34;2;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti1O2";"Óxido Titánico";"Óxido de Titanio (IV)";"Mono";"Di";"MonoÓxido de DiTitanio"
35;"V";"Vanadio";23;5;4;"Metal";"Metales de transición";"Sólido";"2,3,4,5";4;35;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O1";"Óxido HipoVanadoso";"Óxido de Vanadio (II)";"Mono";"Mono";"MonoÓxido de MonoVanadio"
36;"V";"Vanadio";23;5;4;"Metal";"Metales de transición";"Sólido";"2,3,4,5";4;36;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O3";"Óxido Vanadoso";"Óxido de Vanadio (III)";"Di";"Tri";"DiÓxido de TriVanadio"
37;"V";"Vanadio";23;5;4;"Metal";"Metales de transición";"Sólido";"2,3,4,5";4;37;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O2";"Óxido Vanádico";"Óxido de Vanadio (IV)";"Mono";"Di";"MonoÓxido de DiVanadio"
38;"V";"Vanadio";23;5;4;"Metal";"Metales de transición";"Sólido";"2,3,4,5";4;38;4;"5";"V";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O5";"Óxido PerVanádico";"Óxido de Vanadio (V)";"Di";"Penta";"DiÓxido de PentaVanadio"
39;"Cr";"Cromo";24;6;4;"Metal";"Metales de transición";"Sólido";"2,3,6";3;39;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O1";"Óxido HipoCromoso";"Óxido de Cromo (II)";"Mono";"Mono";"MonoÓxido de MonoCromo"
40;"Cr";"Cromo";24;6;4;"Metal";"Metales de transición";"Sólido";"2,3,6";3;40;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr2O3";"Óxido Cromoso";"Óxido de Cromo (III)";"Di";"Tri";"DiÓxido de TriCromo"
41;"Cr";"Cromo";24;6;4;"Metal";"Metales de transición";"Sólido";"2,3,6";3;41;3;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O3";"Óxido Crómico";"Óxido de Cromo (VI)";"Mono";"Tri";"MonoÓxido de TriCromo"
42;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transición";"Sólido";"2,3,4,6,7";5;42;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O1";"Óxido HipoManganoso";"Óxido de Manganeso (II)";"Mono";"Mono";"MonoÓxido de MonoManganeso"
43;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transición";"Sólido";"2,3,4,6,7";5;43;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O3";"Óxido Manganoso";"Óxido de Manganeso (III)";"Di";"Tri";"DiÓxido de TriManganeso"
44;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transición";"Sólido";"2,3,4,6,7";5;44;3;"4";"IV";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O2";"Óxido Mangánico";"Óxido de Manganeso (IV)";"Mono";"Di";"MonoÓxido de DiManganeso"
45;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transición";"Sólido";"2,3,4,6,7";5;45;4;"6";"VI";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O3";"Óxido PerMangánico";"Óxido de Manganeso (VI)";"Mono";"Tri";"MonoÓxido de TriManganeso"
46;"Mn";"Manganeso";25;7;4;"Metal";"Metales de transición";"Sólido";"2,3,4,6,7";5;46;5;"7";"VII";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O7";"Óxido SuperMangánico";"Óxido de Manganeso (VII)";"Di";"Hepta";"DiÓxido de HeptaManganeso"
47;"Fe";"Hierro";26;8;4;"Metal";"Metales de transición";"Sólido";"2,3";2;47;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe1O1";"Óxido Ferroso";"Óxido de Hierro (II)";"Mono";"Mono";"MonoÓxido de MonoHierro"
48;"Fe";"Hierro";26;8;4;"Metal";"Metales de transición";"Sólido";"2,3";2;48;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe2O3";"Óxido Férrico";"Óxido de Hierro (III)";"Di";"Tri";"DiÓxido de TriHierro"
49;"Co";"Cobalto";27;9;4;"Metal";"Metales de transición";"Sólido";"2,3";2;49;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co1O1";"Óxido Cobaltoso";"Óxido de Cobalto (II)";"Mono";"Mono";"MonoÓxido de MonoCobalto"
50;"Co";"Cobalto";27;9;4;"Metal";"Metales de transición";"Sólido";"2,3";2;50;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co2O3";"Óxido Cobáltico";"Óxido de Cobalto (III)";"Di";"Tri";"DiÓxido de TriCobalto"
51;"Ni";"Níquel";28;10;4;"Metal";"Metales de transición";"Sólido";"2,3";2;51;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni1O1";"Óxido Niqueloso";"Óxido de Níquel (II)";"Mono";"Mono";"MonoÓxido de MonoNíquel"
52;"Ni";"Níquel";28;10;4;"Metal";"Metales de transición";"Sólido";"2,3";2;52;2;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni2O3";"Óxido Niquélico";"Óxido de Níquel (III)";"Di";"Tri";"DiÓxido de TriNíquel"
53;"Cu";"Cobre";29;11;4;"Metal";"Metales de transición";"Sólido";"1,2";2;53;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu2O1";"Óxido Cuproso";"Óxido de Cobre (I)";"Di";"Mono";"DiÓxido de MonoCobre"
54;"Cu";"Cobre";29;11;4;"Metal";"Metales de transición";"Sólido";"1,2";2;54;2;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu1O1";"Óxido Cúprico";"Óxido de Cobre (II)";"Mono";"Mono";"MonoÓxido de MonoCobre"
55;"Zn";"Zinc";30;12;4;"Metal";"Metales de transición";"Sólido";"2";1;55;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zn1O1";"Óxido de Zinc";"Óxido de Zinc (II)";"Mono";"Mono";"MonoÓxido de MonoZinc"
56;"Ga";"Galio";31;13;4;"Metal";"Metales del Bloque p";"Líquido";"3";1;56;1;"3";"III";TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Ga2O3";"Óxido de Galio";"Óxido de Galio (III)";"Di";"Tri";"DiÓxido de TriGalio"
57;"Ge";"Germanio";32;14;4;"Metaloide";"-";"Sólido";"4";1;57;1;"4";"IV";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ge1O2";"Óxido de Germanio";"Óxido de Germanio (IV)";"Mono";"Di";"MonoÓxido de DiGermanio"
58;"As";"Arsénico";33;15;4;"Metaloide";"-";"Sólido";"3,5";2;58;1;"3";"III";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O3";"Óxido Arsenoso";"Óxido de Arsénico (III)";"Di";"Tri";"DiÓxido de TriArsénico"
59;"As";"Arsénico";33;15;4;"Metaloide";"-";"Sólido";"3,5";2;59;2;"5";"V";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O5";"Óxido Arsénico";"Óxido de Arsénico (V)";"Di";"Penta";"DiÓxido de PentaArsénico"
60;"Se";"Selenio";34;16;4;"No Metal";"Otros no metales";"Sólido";"4,6";2;60;1;"4";"IV";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O2";"Óxido Selenoso";"Óxido de Selenio (IV)";"Mono";"Di";"MonoÓxido de DiSelenio"
61;"Se";"Selenio";34;16;4;"No Metal";"Otros no metales";"Sólido";"4,6";2;61;2;"6";"VI";FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O3";"Óxido Selénico";"Óxido de Selenio (VI)";"Mono";"Tri";"MonoÓxido de TriSelenio"
62;"Br";"Bromo";35;17;4;"No Metal";"Halógenos";"Líquido";"1,5";2;62;1;"1";"I";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O1";"Óxido Brosomo";"Óxido de Bromo (I)";"Di";"Mono";"DiÓxido de MonoBromo"
63;"Br";"Bromo";35;17;4;"No Metal";"Halógenos";"Líquido";"1,5";2;63;2;"5";"V";FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O5";"Óxido Brómico";"Óxido de Bromo (V)";"Di";"Penta";"DiÓxido de PentaBromo"
64;"Kr";"Criptón";36;18;4;"Gas Noble";"-";"Gas";"0";1;64;1;"0";"";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----";"----";"----";"----";"----";"----"
65;"Rb";"Rubidio";37;1;5;"Metal";"Alcalino";"Sólido";"1";1;65;1;"1";"I";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rb2O1";"Óxido de Rubidio";"Óxido de Rubidio (I)";"Di";"Mono";"DiÓxido de MonoRubidio"
66;"Sr";"Estroncio";38;2;5;"Metal";"Tierras alcalinas";"Sólido";"2";1;66;1;"2";"II";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sr1O1";"Óxido de Estroncio";"Óxido de Estroncio (II)";"Mono";"Mono";"MonoÓxido de MonoEstroncio"
67;"Y";"Yodo";39;3;5;"Metal";"Metales de transición";"Sólido";"3";1;67;1;"3";"III";TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Y2O3";"Óxido de Yodo";"Óxido de Yodo (III)";"Di";"Tri";"DiÓxido de TriYodo"
