"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrdenOnElement";"EachValence";"AtomicWeight._uma";"density_g_mL";"BoilingPoint";"FusionPoint";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde"
69;"Tm";"Thulium";69;3;6;"Metal";"Lanthanides";"Solid";"3,2";2;121;1;"2";168.93422;9.32;1950;1545;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
70;"Yb";"Ytterbium";70;3;6;"Metal";"Lanthanides";"Solid";"2,3";2;122;1;"2";173054;6.97;1196;819;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
70;"Yb";"Ytterbium";70;3;6;"Metal";"Lanthanides";"Solid";"2,3";2;123;2;"3";173054;6.97;1196;819;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
71;"Lu";"Lutetium";71;3;6;"Metal";"Lanthanides";"Solid";"3";1;124;1;"3";174.9668;9.84;3402;1663;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
72;"Hf";"Hafnium";72;4;6;"Metal";"Lanthanides";"Solid";"4";1;125;1;"4";178.49;13.3;4600;2227;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
73;"Ta";"Tantalum";73;5;6;"Metal";"Lanthanides";"Solid";"5";1;126;1;"5";180.94788;16.6;5425;2996;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;127;1;"2";183.84;19.3;5660;3410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;128;2;"3";183.84;19.3;5660;3410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;129;3;"4";183.84;19.3;5660;3410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;130;4;"5";183.84;19.3;5660;3410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;131;5;"6";183.84;19.3;5660;3410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;132;1;"1";186207;21;5600;3180;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;133;2;"2";186207;21;5600;3180;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;134;3;"4";186207;21;5600;3180;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;135;4;"6";186207;21;5600;3180;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;136;5;"7";186207;21;5600;3180;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;137;1;"2";190.23;22.6;5030;3045;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;138;2;"3";190.23;22.6;5030;3045;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;139;3;"4";190.23;22.6;5030;3045;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;140;4;"6";190.23;22.6;5030;3045;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;141;5;"8";190.23;22.6;5030;3045;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;142;1;"2";192217;22.4;4130;2410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;143;2;"3";192217;22.4;4130;2410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;144;3;"4";192217;22.4;4130;2410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;145;4;"6";192217;22.4;4130;2410;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
78;"Pt";"Platinum";78;10;6;"Metal";"Lanthanides";"Solid";"2,4";2;146;1;"2";195084;21.4;3827;1772;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
78;"Pt";"Platinum";78;10;6;"Metal";"Lanthanides";"Solid";"2,4";2;147;2;"4";195084;21.4;3827;1772;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
79;"Au";"Gold";79;11;6;"Metal";"Lanthanides";"Solid";"1,3";2;148;1;"1";196.966569;19.3;3080;1064;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
79;"Au";"Gold";79;11;6;"Metal";"Lanthanides";"Solid";"1,3";2;149;2;"3";196.966569;19.3;3080;1064;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
80;"Hg";"Mercury";80;12;6;"Metal";"Lanthanides";"Liquid";"1,2";2;150;1;"1";200592;13.5;357;-38.9;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
80;"Hg";"Mercury";80;12;6;"Metal";"Lanthanides";"Liquid";"1,2";2;151;2;"2";200592;13.5;357;-38.9;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
81;"Tl";"Thallium";81;13;6;"Metal";"Lanthanides";"Solid";"1,3";2;152;1;"1";204.3835;11.9;1457;303;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
81;"Tl";"Thallium";81;13;6;"Metal";"Lanthanides";"Solid";"1,3";2;153;2;"3";204.3835;11.9;1457;303;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
82;"Pb";"Lead";82;14;6;"Metal";"Lanthanides";"Solid";"2,4";2;154;1;"2";207.2;11.4;1740;327.5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
82;"Pb";"Lead";82;14;6;"Metal";"Lanthanides";"Solid";"2,4";2;155;2;"4";207.2;11.4;1740;327.5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
83;"Bi";"Bismuth";83;15;6;"Metal";"Lanthanides";"Solid";"3,5";2;156;1;"3";208.9804;9.75;1560;271;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
83;"Bi";"Bismuth";83;15;6;"Metal";"Lanthanides";"Solid";"3,5";2;157;2;"5";208.9804;9.75;1560;271;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
84;"Po";"Polonium";84;16;6;"Metalloid";"-";"Solid";"2,4";2;158;1;"2";209;9.32;962;254;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
84;"Po";"Polonium";84;16;6;"Metalloid";"-";"Solid";"2,4";2;159;2;"4";209;9.32;962;254;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;160;1;"1";210;NA;337;302;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;161;2;"3";210;NA;337;302;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;162;3;"5";210;NA;337;302;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;163;4;"7";210;NA;337;302;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE
86;"Rn";"Radon";86;18;6;"Noble gas";"-";"Gas";"0";1;164;1;"0";222;0.00973;-61.8;-71;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE
87;"Fr";"Francius";87;1;7;"Metal";"Alkaline";"Liquid";"1";1;165;1;"1";223;NA;677;27;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
88;"Ra";"Radio";88;2;7;"Metal";"Alkaline earths";"Solid";"2";1;166;1;"2";226;5;1140;700;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
89;"Ac";"Actinium";89;3;7;"Metal";"Actinides";"Solid";"3";1;167;1;"3";227;10.1;3200;1050;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
90;"Th";"Thorium";90;3;7;"Metal";"Actinides";"Solid";"4";1;168;1;"4";232.0377;11.7;4790;1750;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
91;"Pa";"Protactinium";91;3;7;"Metal";"Actinides";"Solid";"4,5";2;169;1;"4";231.03588;15.4;4000;1570;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
91;"Pa";"Protactinium";91;3;7;"Metal";"Actinides";"Solid";"4,5";2;170;2;"5";231.03588;15.4;4000;1570;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;171;1;"3";238.02891;19;3818;1132;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;172;2;"4";238.02891;19;3818;1132;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;173;3;"5";238.02891;19;3818;1132;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;174;4;"6";238.02891;19;3818;1132;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;175;1;"3";237;20.2;3900;640;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;176;2;"4";237;20.2;3900;640;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;177;3;"5";237;20.2;3900;640;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;178;4;"6";237;20.2;3900;640;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;179;1;"3";244;19.8;3232;641;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;180;2;"4";244;19.8;3232;641;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;181;3;"5";244;19.8;3232;641;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;182;4;"6";244;19.8;3232;641;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;183;1;"3";243;13.7;2607;994;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;184;2;"4";243;13.7;2607;994;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;185;3;"5";243;13.7;2607;994;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;186;4;"6";243;13.7;2607;994;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
96;"Cm";"Curium";96;3;7;"Metal";"Actinides";"???";"3";1;187;1;"3";247;13.5;NA;1340;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
97;"Bk";"Berkelium";97;3;7;"Metal";"Actinides";"???";"3,4";2;188;1;"3";247;14;NA;986;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
97;"Bk";"Berkelium";97;3;7;"Metal";"Actinides";"???";"3,4";2;189;2;"4";247;14;NA;986;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
98;"Cf";"Californium";98;3;7;"Metal";"Actinides";"???";"3";1;190;1;"3";251;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
99;"Es";"Einsteinium";99;3;7;"Metal";"Actinides";"???";"4";1;191;1;"4";252;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
100;"Fm";"Fermium";100;3;7;"Metal";"Actinides";"???";"4";1;192;1;"4";257;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
101;"Md";"Mendelevium";101;3;7;"Metal";"Actinides";"???";"3,4";2;193;1;"3";258;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
101;"Md";"Mendelevium";101;3;7;"Metal";"Actinides";"???";"3,4";2;194;2;"4";258;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
102;"No";"Nobelio";102;3;7;"Metal";"Actinides";"???";"3,4";2;195;1;"3";259;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
102;"No";"Nobelio";102;3;7;"Metal";"Actinides";"???";"3,4";2;196;2;"4";259;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
103;"Lr";"Laurencio";103;3;7;"Metal";"Actinides";"???";"3,4";2;197;1;"3";262;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
103;"Lr";"Laurencio";103;3;7;"Metal";"Actinides";"???";"3,4";2;198;2;"4";262;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
104;"Rf";"Rutherfordio";104;3;7;"Metal";"Actinides";"???";"4";1;199;1;"4";267;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
105;"Db";"Dubnium";105;3;7;"Metal";"Actinides";"???";"4";1;200;1;"4";268;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
106;"Sg";"Seaborgio";106;3;7;"Metal";"Actinides";"???";"4";1;201;1;"4";271;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;202;1;"3";272;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;203;2;"4";272;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;204;3;"5";272;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;205;1;"2";270;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;206;2;"4";270;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;207;3;"6";270;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;208;4;"7";270;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;209;1;"2";276;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;210;2;"3";276;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;211;3;"4";276;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;212;4;"6";276;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
110;"Ds";"Darmstadtium";110;3;7;"Metal";"Actinides";"???";"2,4";2;213;1;"2";281;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
110;"Ds";"Darmstadtium";110;3;7;"Metal";"Actinides";"???";"2,4";2;214;2;"4";281;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
111;"Rg";"Roentgenio";111;3;7;"Metal";"Actinides";"???";"2,3";2;215;1;"2";280;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
111;"Rg";"Roentgenio";111;3;7;"Metal";"Actinides";"???";"2,3";2;216;2;"3";280;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
112;"Cn";"Copernicus";112;3;7;"Metal";"Actinides";"???";"1,2";2;217;1;"1";285;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
112;"Cn";"Copernicus";112;3;7;"Metal";"Actinides";"???";"1,2";2;218;2;"2";285;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
113;"Nh";"Nihonium";113;3;7;"Metal";"Actinides";"???";"3";1;219;1;"3";284;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;220;1;"2";289;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;221;2;"4";289;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;222;3;"6";289;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;223;1;"1";288;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;224;2;"4";288;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;225;3;"5";288;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;226;1;"3";293;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;227;2;"4";293;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;228;3;"5";293;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;229;1;"1";292;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;230;2;"2";292;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;231;3;"3";292;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
118;"Og";"Oganeson";118;3;7;"Metal";"Actinides";"???";"4,7";2;232;1;"4";294;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
118;"Og";"Oganeson";118;3;7;"Metal";"Actinides";"???";"4,7";2;233;2;"7";294;NA;NA;NA;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE
