"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrdenOnElement";"EachValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule"
17;"Cl";"Chlorine";17;17;3;"Non-metal";"Halogens";"Gas";"1,3,5,7";4;28;4;7;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;"Cl2O7"
18;"Ar";"Argon";18;18;3;"Noble gas";"-";"Gas";"0";1;29;1;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----"
19;"K";"Potassium";19;1;4;"Metal";"Alkaline";"Solid";"1";1;30;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"K2O1"
20;"Ca";"Calcium";20;2;4;"Metal";"Alkaline earths";"Solid";"2";1;31;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ca1O1"
21;"Sc";"Scandium";21;3;4;"Metal";"Transition Metals";"Solid";"3";1;32;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sc2O3"
22;"Ti";"Titanium";22;4;4;"Metal";"Transition Metals";"Solid";"3,4";2;33;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti2O3"
22;"Ti";"Titanium";22;4;4;"Metal";"Transition Metals";"Solid";"3,4";2;34;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ti1O2"
23;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;35;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O1"
23;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;36;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O3"
23;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;37;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V1O2"
23;"V";"Vanadium";23;5;4;"Metal";"Transition Metals";"Solid";"2,3,4,5";4;38;4;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"V2O5"
24;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;39;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O1"
24;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;40;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr2O3"
24;"Cr";"Chrome";24;6;4;"Metal";"Transition Metals";"Solid";"2,3,6";3;41;3;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cr1O3"
25;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;42;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O1"
25;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;43;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O3"
25;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;44;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O2"
25;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;45;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn1O3"
25;"Mn";"Manganese";25;7;4;"Metal";"Transition Metals";"Solid";"2,3,4,6,7";5;46;5;7;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Mn2O7"
26;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;47;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe1O1"
26;"Fe";"Iron";26;8;4;"Metal";"Transition Metals";"Solid";"2,3";2;48;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Fe2O3"
27;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;49;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co1O1"
27;"Co";"Cobalt";27;9;4;"Metal";"Transition Metals";"Solid";"2,3";2;50;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Co2O3"
28;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;51;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni1O1"
28;"Ni";"Nickel";28;10;4;"Metal";"Transition Metals";"Solid";"2,3";2;52;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ni2O3"
29;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;53;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu2O1"
29;"Cu";"Copper";29;11;4;"Metal";"Transition Metals";"Solid";"1,2";2;54;2;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Cu1O1"
30;"Zn";"Zinc";30;12;4;"Metal";"Transition Metals";"Solid";"2";1;55;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Zn1O1"
31;"Ga";"Gallium";31;13;4;"Metal";"Metals from Block p";"Liquid";"3";1;56;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Ga2O3"
32;"Ge";"Germanium";32;14;4;"Metalloid";"-";"Solid";"4";1;57;1;4;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ge1O2"
33;"As";"Arsenic";33;15;4;"Metalloid";"-";"Solid";"3,5";2;58;1;3;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O3"
33;"As";"Arsenic";33;15;4;"Metalloid";"-";"Solid";"3,5";2;59;2;5;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"As2O5"
34;"Se";"Selenium";34;16;4;"Non-metal";"Other Non-Metals";"Solid";"4,6";2;60;1;4;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O2"
34;"Se";"Selenium";34;16;4;"Non-metal";"Other Non-Metals";"Solid";"4,6";2;61;2;6;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Se1O3"
35;"Br";"Bromine";35;17;4;"Non-metal";"Halogens";"Liquid";"1,5";2;62;1;1;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O1"
35;"Br";"Bromine";35;17;4;"Non-metal";"Halogens";"Liquid";"1,5";2;63;2;5;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;"Br2O5"
36;"Kr";"Krypton";36;18;4;"Noble gas";"-";"Gas";"0";1;64;1;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----"
37;"Rb";"Rubidium";37;1;5;"Metal";"Alkaline";"Solid";"1";1;65;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Rb2O1"
38;"Sr";"Strontium";38;2;5;"Metal";"Alkaline earths";"Solid";"2";1;66;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Sr1O1"
