"Order";"Symbol";"Name";"AtomicNumber";"Group";"Period";"Type";"Subtype";"State";"Valence";"AmountOfValences";"OrderGeneralValences";"OrdenOnElement";"EachValence";"Type_Metal";"Type_NonMetal";"Type_Metalloide";"Type_NobleGas";"State_Solid";"State_Liquid";"State_Gas";"State_Dude";"Subtype_Halogen";"Status_oxyde";"ChemFormule"
69;"Tm";"Thulium";69;3;6;"Metal";"Lanthanides";"Solid";"3,2";2;121;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tm1O1"
70;"Yb";"Ytterbium";70;3;6;"Metal";"Lanthanides";"Solid";"2,3";2;122;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Yb1O1"
70;"Yb";"Ytterbium";70;3;6;"Metal";"Lanthanides";"Solid";"2,3";2;123;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Yb2O3"
71;"Lu";"Lutetium";71;3;6;"Metal";"Lanthanides";"Solid";"3";1;124;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Lu2O3"
72;"Hf";"Hafnium";72;4;6;"Metal";"Lanthanides";"Solid";"4";1;125;1;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Hf1O2"
73;"Ta";"Tantalum";73;5;6;"Metal";"Lanthanides";"Solid";"5";1;126;1;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ta2O5"
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;127;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O1"
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;128;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W2O3"
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;129;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O2"
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;130;4;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W2O5"
74;"W";"Tungsten";74;6;6;"Metal";"Lanthanides";"Solid";"2,3,4,5,6";5;131;5;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"W1O3"
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;132;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re2O1"
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;133;2;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O1"
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;134;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O2"
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;135;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re1O3"
75;"Re";"Rhenium";75;7;6;"Metal";"Lanthanides";"Solid";"1,2,4,6,7";5;136;5;7;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Re2O7"
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;137;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O1"
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;138;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os2O3"
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;139;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O2"
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;140;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O3"
76;"Os";"Osmium";76;8;6;"Metal";"Lanthanides";"Solid";"2,3,4,6,8";5;141;5;8;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Os1O4"
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;142;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O1"
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;143;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir2O3"
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;144;3;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O2"
77;"Ir";"Iridium";77;9;6;"Metal";"Lanthanides";"Solid";"2,3,4,6";4;145;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ir1O3"
78;"Pt";"Platinum";78;10;6;"Metal";"Lanthanides";"Solid";"2,4";2;146;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pt1O1"
78;"Pt";"Platinum";78;10;6;"Metal";"Lanthanides";"Solid";"2,4";2;147;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pt1O2"
79;"Au";"Gold";79;11;6;"Metal";"Lanthanides";"Solid";"1,3";2;148;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Au2O1"
79;"Au";"Gold";79;11;6;"Metal";"Lanthanides";"Solid";"1,3";2;149;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Au2O3"
80;"Hg";"Mercury";80;12;6;"Metal";"Lanthanides";"Liquid";"1,2";2;150;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Hg2O1"
80;"Hg";"Mercury";80;12;6;"Metal";"Lanthanides";"Liquid";"1,2";2;151;2;2;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Hg1O1"
81;"Tl";"Thallium";81;13;6;"Metal";"Lanthanides";"Solid";"1,3";2;152;1;1;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tl2O1"
81;"Tl";"Thallium";81;13;6;"Metal";"Lanthanides";"Solid";"1,3";2;153;2;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Tl2O3"
82;"Pb";"Lead";82;14;6;"Metal";"Lanthanides";"Solid";"2,4";2;154;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pb1O1"
82;"Pb";"Lead";82;14;6;"Metal";"Lanthanides";"Solid";"2,4";2;155;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pb1O2"
83;"Bi";"Bismuth";83;15;6;"Metal";"Lanthanides";"Solid";"3,5";2;156;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Bi2O3"
83;"Bi";"Bismuth";83;15;6;"Metal";"Lanthanides";"Solid";"3,5";2;157;2;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Bi2O5"
84;"Po";"Polonium";84;16;6;"Metalloid";"-";"Solid";"2,4";2;158;1;2;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Po1O1"
84;"Po";"Polonium";84;16;6;"Metalloid";"-";"Solid";"2,4";2;159;2;4;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Po1O2"
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;160;1;1;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"At2O1"
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;161;2;3;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"At2O3"
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;162;3;5;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"At2O5"
85;"At";"Astatus";85;17;6;"Non-metal";"Halogens";"Solid";"1,3,5,7";4;163;4;7;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;"At2O7"
86;"Rn";"Radon";86;18;6;"Noble gas";"-";"Gas";"0";1;164;1;0;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"----"
87;"Fr";"Francius";87;1;7;"Metal";"Alkaline";"Liquid";"1";1;165;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;"Fr2O1"
88;"Ra";"Radio";88;2;7;"Metal";"Alkaline earths";"Solid";"2";1;166;1;2;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ra1O1"
89;"Ac";"Actinium";89;3;7;"Metal";"Actinides";"Solid";"3";1;167;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Ac2O3"
90;"Th";"Thorium";90;3;7;"Metal";"Actinides";"Solid";"4";1;168;1;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Th1O2"
91;"Pa";"Protactinium";91;3;7;"Metal";"Actinides";"Solid";"4,5";2;169;1;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pa1O2"
91;"Pa";"Protactinium";91;3;7;"Metal";"Actinides";"Solid";"4,5";2;170;2;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"Pa2O5"
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;171;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U2O3"
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;172;2;4;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U1O2"
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;173;3;5;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U2O5"
92;"U";"Uranium";92;3;7;"Metal";"Actinides";"Solid";"3,4,5,6";4;174;4;6;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;"U1O3"
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;175;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np2O3"
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;176;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np1O2"
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;177;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np2O5"
93;"Np";"Neptunium";93;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;178;4;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Np1O3"
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;179;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu2O3"
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;180;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu1O2"
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;181;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu2O5"
94;"Pu";"Plutonium";94;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;182;4;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Pu1O3"
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;183;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am2O3"
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;184;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am1O2"
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;185;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am2O5"
95;"Am";"Americium";95;3;7;"Metal";"Actinides";"???";"3,4,5,6";4;186;4;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Am1O3"
96;"Cm";"Curium";96;3;7;"Metal";"Actinides";"???";"3";1;187;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cm2O3"
97;"Bk";"Berkelium";97;3;7;"Metal";"Actinides";"???";"3,4";2;188;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bk2O3"
97;"Bk";"Berkelium";97;3;7;"Metal";"Actinides";"???";"3,4";2;189;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bk1O2"
98;"Cf";"Californium";98;3;7;"Metal";"Actinides";"???";"3";1;190;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cf2O3"
99;"Es";"Einsteinium";99;3;7;"Metal";"Actinides";"???";"4";1;191;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Es1O2"
100;"Fm";"Fermium";100;3;7;"Metal";"Actinides";"???";"4";1;192;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fm1O2"
101;"Md";"Mendelevium";101;3;7;"Metal";"Actinides";"???";"3,4";2;193;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Md2O3"
101;"Md";"Mendelevium";101;3;7;"Metal";"Actinides";"???";"3,4";2;194;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Md1O2"
102;"No";"Nobelio";102;3;7;"Metal";"Actinides";"???";"3,4";2;195;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"No2O3"
102;"No";"Nobelio";102;3;7;"Metal";"Actinides";"???";"3,4";2;196;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"No1O2"
103;"Lr";"Laurencio";103;3;7;"Metal";"Actinides";"???";"3,4";2;197;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lr2O3"
103;"Lr";"Laurencio";103;3;7;"Metal";"Actinides";"???";"3,4";2;198;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lr1O2"
104;"Rf";"Rutherfordio";104;3;7;"Metal";"Actinides";"???";"4";1;199;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rf1O2"
105;"Db";"Dubnium";105;3;7;"Metal";"Actinides";"???";"4";1;200;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Db1O2"
106;"Sg";"Seaborgio";106;3;7;"Metal";"Actinides";"???";"4";1;201;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Sg1O2"
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;202;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh2O3"
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;203;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh1O2"
107;"Bh";"Bohrio";107;3;7;"Metal";"Actinides";"???";"3,4,5";3;204;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Bh2O5"
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;205;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O1"
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;206;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O2"
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;207;3;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs1O3"
108;"Hs";"Hassio";108;3;7;"Metal";"Actinides";"???";"2,4,6,7";4;208;4;7;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Hs2O7"
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;209;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O1"
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;210;2;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt2O3"
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;211;3;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O2"
109;"Mt";"Meitnerius";109;3;7;"Metal";"Actinides";"???";"2,3,4,6";4;212;4;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mt1O3"
110;"Ds";"Darmstadtium";110;3;7;"Metal";"Actinides";"???";"2,4";2;213;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ds1O1"
110;"Ds";"Darmstadtium";110;3;7;"Metal";"Actinides";"???";"2,4";2;214;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ds1O2"
111;"Rg";"Roentgenio";111;3;7;"Metal";"Actinides";"???";"2,3";2;215;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rg1O1"
111;"Rg";"Roentgenio";111;3;7;"Metal";"Actinides";"???";"2,3";2;216;2;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Rg2O3"
112;"Cn";"Copernicus";112;3;7;"Metal";"Actinides";"???";"1,2";2;217;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cn2O1"
112;"Cn";"Copernicus";112;3;7;"Metal";"Actinides";"???";"1,2";2;218;2;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Cn1O1"
113;"Nh";"Nihonium";113;3;7;"Metal";"Actinides";"???";"3";1;219;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Nh2O3"
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;220;1;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O1"
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;221;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O2"
114;"Fl";"Flerovio";114;3;7;"Metal";"Actinides";"???";"2,4,6";3;222;3;6;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Fl1O3"
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;223;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc2O1"
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;224;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc1O2"
115;"Mc";"Moscovio";115;3;7;"Metal";"Actinides";"???";"1,4,5";3;225;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Mc2O5"
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;226;1;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv2O3"
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;227;2;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv1O2"
116;"Lv";"Livermorio";116;3;7;"Metal";"Actinides";"???";"3,4,5";3;228;3;5;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Lv2O5"
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;229;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts2O1"
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;230;2;2;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts1O1"
117;"Ts";"Tenesino";117;3;7;"Metal";"Actinides";"???";"1,2,3";3;231;3;3;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Ts2O3"
118;"Og";"Oganeson";118;3;7;"Metal";"Actinides";"???";"4,7";2;232;1;4;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Og1O2"
118;"Og";"Oganeson";118;3;7;"Metal";"Actinides";"???";"4,7";2;233;2;7;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;TRUE;"Og2O7"
