Order;Symbol;Name;OxydeName_Part01_Classic;OxydeName_Part02_Classic;OxydeName_Part03_Classic;Name_Classic_Oxyde;AtomicNumber;Group;Period;Type;Subtype;State;Valence;AmountOfValences;OrderGeneralValences;OrderValenceOnElement;SelectedValence;RomanValence;OxydeName_Part01_IUPAC;Name_IUPAC_Oxyde
132;Re;Renio;Óxido ;Hipo;Renoso;Óxido HipoRenoso;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;132;1;1;I;Óxido de ;Óxido de Renio (I)
133;Re;Renio;Óxido ;;Renoso;Óxido Renoso;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;133;2;2;II;Óxido de ;Óxido de Renio (II)
134;Re;Renio;Óxido ;;Renico;Óxido Renico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;134;3;4;IV;Óxido de ;Óxido de Renio (IV)
135;Re;Renio;Óxido ;Per;Renico;Óxido PerRenico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;135;4;6;VI;Óxido de ;Óxido de Renio (VI)
136;Re;Renio;Óxido ;Super;Renico;Óxido SuperRenico;75;7;6;Metal;Lantánidos;Sólido;1,2,4,6,7;5;136;5;7;VII;Óxido de ;Óxido de Renio (VII)
137;Os;Osmio;Óxido ;Hipo;Osmoso;Óxido HipoOsmoso;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;137;1;2;II;Óxido de ;Óxido de Osmio (II)
138;Os;Osmio;Óxido ;;Osmoso;Óxido Osmoso;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;138;2;3;III;Óxido de ;Óxido de Osmio (III)
139;Os;Osmio;Óxido ;;Ósmico;Óxido Ósmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;139;3;4;IV;Óxido de ;Óxido de Osmio (IV)
140;Os;Osmio;Óxido ;Per;Ósmico;Óxido PerÓsmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;140;4;6;VI;Óxido de ;Óxido de Osmio (VI)
141;Os;Osmio;Óxido ;Super;Ósmico;Óxido SuperÓsmico;76;8;6;Metal;Lantánidos;Sólido;2,3,4,6,8;5;141;5;8;VIII;Óxido de ;Óxido de Osmio (VIII)
142;Ir;Iridio;Óxido ;Hipo;Iridoso;Óxido HipoIridoso;77;9;6;Metal;Lantánidos;Sólido;2,3,4,6;4;142;1;2;II;Óxido de ;Óxido de Iridio (II)
